Source,Target
1,2
5,6
5,11
5,2
5,8
5,12
11,2
11,8
11,12
11,5
2,8
2,12
2,5
8,12
8,5
12,5
16,17
18,19
18,20
19,20
21,22
21,22
21,22
23,24
2,8
2,8
8,2
2,8
28,29
28,30
28,31
28,8
28,2
28,32
28,33
29,30
29,31
29,8
29,2
29,32
29,33
30,31
30,8
30,2
30,32
30,33
31,8
31,2
31,32
31,33
8,2
8,32
8,33
2,32
2,33
32,33
34,35
34,36
35,36
2,37
2,38
37,38
15,39
15,39
15,39
15,5
15,39
15,39
15,39
15,5
39,5
39,5
39,5
8,2
2,8
41,42
2,45
2,46
2,47
2,21
45,46
45,47
45,21
46,47
46,21
47,21
39,49
6,10
6,10
6,10
6,10
6,10
6,10
5,6
5,52
5,53
6,52
6,53
52,53
54,55
54,56
55,56
58,10
39,61
21,42
21,63
21,64
21,65
21,66
21,67
21,68
21,69
21,43
42,63
42,64
42,65
42,66
42,67
42,68
42,69
42,43
63,64
63,65
63,66
63,67
63,68
63,69
63,43
64,65
64,66
64,67
64,68
64,69
64,43
65,66
65,67
65,68
65,69
65,43
66,67
66,68
66,69
66,43
67,68
67,69
67,43
68,69
68,43
69,43
71,35
71,35
71,35
35,71
35,71
71,35
71,35
35,71
71,35
34,2
39,17
39,21
39,21
17,21
17,21
46,17
81,41
82,39
82,17
39,17
3,25
3,25
3,25
3,25
3,25
3,25
2,8
8,2
85,86
85,87
85,68
86,87
86,68
87,68
8,16
39,17
39,17
17,39
39,17
91,92
34,35
39,17
39,17
39,17
17,39
17,39
39,17
39,17
17,39
39,17
8,16
81,93
96,37
96,38
96,97
96,98
37,38
37,97
37,98
38,97
38,98
97,98
102,34
102,38
102,103
34,38
34,103
38,103
34,47
34,35
47,35
37,105
106,22
106,22
106,22
106,22
106,22
106,22
106,22
106,22
106,22
22,38
22,38
38,22
22,38
107,108
107,108
107,108
107,109
108,109
108,109
108,109
39,47
112,37
112,113
112,113
112,21
112,21
112,114
112,114
37,113
37,113
37,21
37,21
37,114
37,114
113,21
113,21
113,114
113,114
113,21
113,21
113,114
113,114
21,114
21,114
21,114
21,114
116,2
87,117
120,121
120,88
121,88
48,4
48,122
4,122
71,103
8,2
60,47
43,38
43,38
43,38
38,43
38,43
43,38
43,38
38,43
43,38
42,12
2,117
2,34
2,17
2,35
117,34
117,17
117,35
34,17
34,35
17,35
8,37
8,38
8,42
37,38
37,42
38,42
71,35
34,103
43,38
43,124
43,38
38,124
124,38
60,17
71,103
46,105
46,22
46,105
105,22
22,105
43,38
43,38
43,38
38,43
38,43
43,38
43,38
38,43
43,38
23,24
131,103
131,92
131,126
131,26
103,92
103,126
103,26
92,126
92,26
126,26
21,22
6,113
136,22
136,38
22,38
42,22
42,21
22,21
34,103
14,137
14,137
82,140
82,140
2,8
2,8
2,8
2,33
8,33
8,33
8,33
28,2
28,2
28,2
124,17
71,17
71,35
71,17
71,35
71,17
71,35
17,35
17,71
17,35
17,71
17,35
35,71
35,17
35,71
35,17
71,17
71,35
71,17
71,35
17,35
17,71
17,35
35,71
35,17
71,17
71,35
17,35
71,35
145,8
34,8
34,17
34,35
34,27
17,35
17,27
35,27
34,103
34,22
103,22
69,147
69,34
69,103
69,6
147,34
147,103
147,6
34,103
34,6
103,6
34,103
71,17
71,35
71,6
17,35
17,6
35,6
10,2
150,34
150,103
34,103
71,103
71,103
71,103
103,71
103,71
71,103
71,103
103,71
71,103
153,6
8,2
8,2
2,8
8,2
46,38
10,155
10,156
10,157
10,158
155,156
155,157
